position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	tags	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
1	UC5e7xrGd-mqq7Vrwxl0erkQ	MotionEchoMedia	Nv6mDeFPT2M	2010-12-04T21:54:39Z	2010-12-04 21:54:39	Emily Doty - Professional Video Resume	great example of how a brief 45 second video resume can let potential hiring managers that you'd be a perfect candidate for the job. produced by MotionEcho Media http://www.motionecho.com/	professional video resume,video profile	27	Education	PT47S	47	2d	hd	false	https://i.ytimg.com/vi/Nv6mDeFPT2M/maxresdefault.jpg		208687	453		0	50
2					1970-01-01 00:00:00							0										
3					1970-01-01 00:00:00							0										
4					1970-01-01 00:00:00							0										
5	UCto418njXGKRj12t6gn5xiw	Oswaldo	Hzr-QEhNJiQ	2011-11-11T12:36:02Z	2011-11-11 12:36:02	CV video	Voici mon curriculum vitae sous forme vidéo. Cette version, destinée à une diffusion web, contient une fausse adresse et un faux numéro.	gautier,chagigneau,cv,video,curriculum,vitae,motion,design,bkr,showreel,demoreel,bande,demo	1	Film & Animation	PT1M31S	91	2d	hd	false	https://i.ytimg.com/vi/Hzr-QEhNJiQ/maxresdefault.jpg		75839	436		0	34
6	UCtp5aMCIc4CPx_g_XEC0YMA	LMK	FOohq_a6sZw	2012-04-30T08:59:42Z	2012-04-30 08:59:42	Video Resume IT Programming student	just wanna show to all of you, on how to make video resume and applying a job using video resume and not just a standard way. im IT student majoring in programming. for more detail, just watch till the end of the video.	Malaysia video resume,Video resume,how to,how to video resume asia,video resume IT student,Politeknik Seberang perai,2012 video resume	26	Howto & Style	PT2M14S	134	2d	hd	false	https://i.ytimg.com/vi/FOohq_a6sZw/maxresdefault.jpg		10159	19		0	9
7	UCMtfpwiGzBPgnyTnBQi6PHg	BMKfilm2	0oHhD3Bk9Uc	2008-01-27T08:58:48Z	2008-01-27 08:58:48	DAVID PEDERSEN'S VIDEO RESUME	Dave Pedersen's Video Resume	video,resume,example,sample,job,search,career,penmanship,microsoft,blog,spoof,parody,digital,media,best,vault.com,waterloo,good,gawker.com,Office,Demo,Work,Comedy,Funny,corporate,work,humor,Working,occupation,online	23	Comedy	PT1M30S	90	2d	sd	false			370834	762		0	187
8					1970-01-01 00:00:00							0										
9	UCOvgMdFZKo4UeZD5_7V0HAg	Justin Bureau	UUpileM8xxg	2010-05-07T22:36:56Z	2010-05-07 22:36:56	Le CV créatif de Justin Bureau	Justin Bureau en quelques mots et en Stop Motion. http://justinbureau.com	CV,créatif,Stop Motion,Justin Bureau,justinbureau,présentation,quelques mots,qualités,original,creative,qualities,introduce,myself,cartoons,animation short,animation,animation art	1	Film & Animation	PT55S	55	2d	sd	false			45074	97		0	8
10	UCPXes-_TE-iGn_y-xuO6K2A	Eric Purdue	h2BHW7G1U_c	2010-11-18T06:53:45Z	2010-11-18 06:53:45	Eric Purdue Video Resume	Learn more about me at www.linkedin.com My public site is http://www.linkedin.com/pub/eric-purdue/22/79/31 I Currently have a fantastic job just outside of Milwaukee WI. I want to give a special thanks to Jake Ryan for all the help with the video resume. You can find him on linkedin as well. I put together this video resume in order to stand out from the crowd and at very least make some people laugh....enjoy!!	video,resume,job,jobs,marketing,video resume,eric purdue,jake ryan,spoof,career,parody,satire,funny,cv video,job application	1	Film & Animation	PT1M51S	111	2d	sd	false			47670	110		0	17
11	UCiJibDA_S35cE54e-MoA4Zg	natwonder	oT1XYjZcmck	2008-02-04T02:23:59Z	2008-02-04 02:23:59	Video Resume	My video resume is a compliment to my "paper" resume. I am seeking employment as a communications, public relations, marketing, or general business specialist/manager.	video,resume,communication,public,relations,marketing,business	22	People & Blogs	PT3M15S	195	2d	sd	false			102692	42		0	13
